origem;destino;km_google;min_google
CURITIBA;SAO JOSE DOS PINHAIS;15.1;22
CURITIBA;ARAUCARIA;28.4;36
CURITIBA;FAZENDA RIO GRANDE;29.1;36
CURITIBA;LAPA;71.5;80
CURITIBA;PARANAGUA;89.5;88
CURITIBA;MATINHOS;109;98
CURITIBA;RIO NEGRO;109;105
CURITIBA;PONTA GROSSA;114;101
CURITIBA;GUARATUBA;119;112
CURITIBA;IRATI;154;141
CURITIBA;UNIAO DA VITORIA;236;224
CURITIBA;TELEMACO BORBA;243;206
CURITIBA;GUARAPUAVA;254;227
CURITIBA;LONDRINA;383;325
CURITIBA;MARINGA;425;359
CURITIBA;PATO BRANCO;437;373
CURITIBA;CASCAVEL;500;419
CURITIBA;UMUARAMA;554;454
CURITIBA;FOZ DO IGUACU;635;514
LONDRINA;MARINGA;99.5;91
CASCAVEL;FOZ DO IGUACU;138;111
MARINGA;CAMPO MOURAO;89.5;75
LONDRINA;CASCAVEL;367;296
PONTA GROSSA;GUARAPUAVA;162;155
MARINGA;UMUARAMA;162;144
CASCAVEL;TOLEDO;43.7;38
CURITIBA;ANTONINA;82.6;92
LONDRINA;APUCARANA;55.4;63
CASCAVEL;PATO BRANCO;232;223
PONTA GROSSA;CASTRO;43.0;47
MARINGA;PARANAVAI;74.5;65
CURITIBA;COLOMBO;11.9;21
