Cidade, Divisao, Sigla_da_divisao, unidade, Sigla_da_unidade
Curitiba, Secretaria de Estado da Segurança Pública, SESP, Secretaria de Estado da Segurança Pública, SESP
Curitiba, Direção Superior, DGPC, Delegacia-Geral da Polícia Civil, DGPC
Curitiba, Direção Superior, DGPC, Delegacia-Geral Adjunta, DGA
Curitiba, Direção Superior, DGPC, Conselho da Polícia Civil, CPC
Curitiba, Apoio Administrativo, ADM, Assessoria de Comunicação, ASCOM
Curitiba, Apoio Administrativo, ADM, Assessoria de Planejamento Estratégico, ASPLAN
Curitiba, Apoio Administrativo, ADM, Assessoria de Relações Institucionais, ARI
Curitiba, Apoio Administrativo, ADM, Assessoria Jurídica, ASJUR
Curitiba, Apoio Administrativo, ADM, Assessoria de Informática e Tecnologia, AIT
Curitiba, Apoio Administrativo, ADM, Grupo Auxiliar Financeiro, GAF
Curitiba, Apoio Administrativo, ADM, Departamento de Recursos Humanos, DRH
Curitiba, Apoio Administrativo, ADM, Departamento de Logística e Patrimônio, DLP
Curitiba, Apoio Administrativo, ADM, Assessoria de Cerimonial, ACER
Curitiba, Apoio Administrativo, ADM, Divisão de Infraestrutura, DINFRA
Curitiba, Apoio Administrativo, ADM, Protocolo Geral, PROT
Curitiba, Controle e Ensino, CGPC, Corregedoria-Geral da Polícia Civil, CGPC
Curitiba, Controle e Ensino, ESPC, Escola Superior de Polícia Civil, ESPC
Curitiba, Inteligência, AIPC, Agência de Inteligência da Polícia Civil, AIPC
Curitiba, Divisão de Homicídios e Proteção à Pessoa, DHPP, Delegacia de Homicídios, DH
Curitiba, Divisão de Homicídios e Proteção à Pessoa, DHPP, Delegacia de Proteção à Pessoa, DPP
Curitiba, Divisão Estadual de Narcóticos, DENARC, Subdivisão de Repressão Penal, SRP
Curitiba, Divisão Estadual de Narcóticos, DENARC, Subdivisão de Inteligência e Informações, SII
Curitiba, Divisão Estadual de Narcóticos, DENARC, Núcleo Regional de Repressão a Tráfico Ilícito de Drogas - Curitiba, NRTID-CWB
Ponta Grossa, Divisão Estadual de Narcóticos, DENARC, Núcleo Regional de Repressão a Tráfico Ilícito de Drogas - Ponta Grossa, NRTID-PG
Londrina, Divisão Estadual de Narcóticos, DENARC, Núcleo Regional de Repressão a Tráfico Ilícito de Drogas - Londrina, NRTID-LON
Maringá, Divisão Estadual de Narcóticos, DENARC, Núcleo Regional de Repressão a Tráfico Ilícito de Drogas - Maringá, NRTID-MGA
Cascavel, Divisão Estadual de Narcóticos, DENARC, Núcleo Regional de Repressão a Tráfico Ilícito de Drogas - Cascavel, NRTID-CAS
